file,p_count,p_char_count,img_count,img_char_count,meta_count,meta_char_count,style_count,style_char_count,script_count,script_char_count
1003244_raw_html.txt,18,1545,9,1391,31,2620,5,1751,23,8102
1009058_raw_html.txt,56,6119,7,809,31,3080,0,0,18,10782
1009640_raw_html.txt,19,5994,10,1282,21,1952,2,321,69,27265
1012682_raw_html.txt,15,7234,6,505,11,920,0,0,17,4692
101420_raw_html.txt,22,5213,47,11260,13,1485,6,12775,51,12733
1016456_raw_html.txt,8,2355,14,1632,8,758,2,2689,15,2637
1022012_raw_html.txt,0,0,14,8994,56,2896,4,2718,6,98890
102752_raw_html.txt,0,0,0,0,3,391,0,0,0,0
1028444_raw_html.txt,18,1086,27,5240,30,2442,0,0,44,26904
1031516_raw_html.txt,8,1603,15,1843,22,1756,0,0,16,4334
1032134_raw_html.txt,48,11056,51,8722,32,2640,4,983,76,18041
1033778_raw_html.txt,2,451,5,799,37,3168,0,0,21,55442
1034564_raw_html.txt,21,4877,16,2794,21,2346,3,692,5,2551
1035698_raw_html.txt,20,905,19,1601,12,897,1,4241,18,12601
104024_raw_html.txt,12,1493,30,7254,20,1623,2,804,22,4390
1042754_raw_html.txt,29,4541,23,2223,15,1403,1,45,56,19840
1044506_raw_html.txt,164,19677,81,8243,17,1580,0,0,36,9098
10448_raw_html.txt,2,92,21,2786,2,110,3,21974,28,15741
104762_raw_html.txt,47,6676,28,5397,15,1048,2,1062,22,5481
1047812_raw_html.txt,11,2713,10,1259,28,2491,1,319,36,16396
1051004_raw_html.txt,18,3361,29,10515,28,2862,1,9926,25,8541
1054610_raw_html.txt,38,16284,23,4000,28,2297,4,1856,36,22199
1058318_raw_html.txt,29,5220,66,7193,8,880,2,843,23,7022
1058504_raw_html.txt,1,47,0,0,0,0,0,0,0,0
1060964_raw_html.txt,29,4736,10,1539,25,2500,4,1236,26,6200
106262_raw_html.txt,30,6348,28,4871,36,2853,0,0,16,14034
1063220_raw_html.txt,20,4012,17,3363,20,1929,4,4374,28,9483
1063298_raw_html.txt,36,18659,12,1688,24,1999,1,1649,24,9357
1065734_raw_html.txt,17,2873,20,2983,11,1333,0,0,3,15560
1069508_raw_html.txt,47,8771,41,9087,15,1552,3,771,40,18452
1071668_raw_html.txt,67,10154,47,5759,36,2334,1,188,33,26118
1072940_raw_html.txt,48,13355,6,1050,17,2105,8,4696,34,10552
1075742_raw_html.txt,10,100,4,698,144,11682,1,918,24,63170
1076570_raw_html.txt,23,5355,39,6818,15,1893,1,123,71,19805
1079336_raw_html.txt,12,5620,12,1254,3,506,1,67,7,2635
1079924_raw_html.txt,14,1207,17,3238,19,3727,4,6662,43,13102
1080236_raw_html.txt,65,20847,27,4050,11,985,1,99824,21,5556
10808_raw_html.txt,27,2721,1,114,33,2656,0,0,34,7991
1082348_raw_html.txt,15,5792,4,409,5,312,0,0,15,4829
10832_raw_html.txt,6,1300,6,976,19,1650,1,319,22,9602
108380_raw_html.txt,12,2283,28,3612,4,271,0,0,21,15060
1084052_raw_html.txt,7,2095,10,1166,36,2491,0,0,25,12772
1085258_raw_html.txt,72,7452,40,18914,38,3404,0,0,21,55443
1087586_raw_html.txt,15,4348,32,2950,29,2609,3,312,38,10224
108860_raw_html.txt,14,3096,17,2870,11,876,8,152555,29,5886
1089512_raw_html.txt,0,0,24,2076,4,292,1,658,19,3099
1090718_raw_html.txt,5,370,19,2099,30,2750,0,0,20,17811
1092638_raw_html.txt,0,0,7,299,5,450,0,0,17,1815
1096748_raw_html.txt,4,870,34,4502,44,3140,0,0,27,60319
1096964_raw_html.txt,11,2310,70,14587,31,3345,6,4752,53,12516
1098038_raw_html.txt,50,3601,23,5700,12,1136,5,2664,38,11996
1103930_raw_html.txt,112,23090,191,36028,33,2794,5,6568,16,8123
110564_raw_html.txt,7,1020,7,956,4,378,1,101,20,20641
1108706_raw_html.txt,62,8586,32,4433,8,876,1,110,10,2422
1109984_raw_html.txt,10,212,0,0,24,2237,0,0,0,0
1110266_raw_html.txt,6,306,2,367,26,2114,1,319,10,2866
1114028_raw_html.txt,17,2039,1,171,68,5664,1,918,15,16975
1116146_raw_html.txt,11,1549,17,3101,19,1548,2,231,20,18494
1117460_raw_html.txt,21,3620,8,1230,19,1447,0,0,18,8199
1117514_raw_html.txt,0,0,1,132,22,1959,0,0,18,17338
1120106_raw_html.txt,17,3389,7,908,9,706,2,535,27,12425
1120796_raw_html.txt,15,1210,10,895,11,958,1,832,27,15853
1123688_raw_html.txt,2,54,0,0,4,342,1,204,8,7273
1124060_raw_html.txt,2,534,13,2898,45,2802,7,1335,50,31081
1125254_raw_html.txt,90,14952,22,3567,25,2218,5,2276,32,12091
1125320_raw_html.txt,117,18883,34,5866,29,2478,1,4396,11,2745
112934_raw_html.txt,2,85,13,2145,22,1851,0,0,26,55752
1130090_raw_html.txt,0,0,0,0,29,3628,0,0,6,58405
1130180_raw_html.txt,40,15632,36,3149,2,191,0,0,17,4385
1131176_raw_html.txt,27,5618,13,1769,24,1979,2,584,18,4850
1132016_raw_html.txt,15,1904,29,7686,23,1214,2,1359,9,17576
1142354_raw_html.txt,10,1022,25,6186,22,2422,1,331,26,25512
114284_raw_html.txt,0,0,0,0,4,671,1,52531,2,3769
1145348_raw_html.txt,54,6797,61,6474,17,1766,0,0,18,6678
1148642_raw_html.txt,9,4293,4,517,21,1815,0,0,26,7357
1148882_raw_html.txt,9,375,2,223,5,253,2,31085,21,10865
1149272_raw_html.txt,7,1238,33,5233,28,2931,0,0,57,18295
115058_raw_html.txt,42,4873,11,1906,17,1482,0,0,28,8822
1151930_raw_html.txt,32,12590,26,4916,11,885,2,1249,24,5597
1152590_raw_html.txt,46,3440,54,6351,13,985,0,0,36,21130
1156010_raw_html.txt,17,3405,12,1531,25,1902,1,319,26,8532
1157132_raw_html.txt,12,2966,23,4328,30,2916,6,1955,60,51168
116066_raw_html.txt,3,268,17,5166,28,2344,1,319,39,9708
1161104_raw_html.txt,0,0,1,165,15,1587,1,48,5,6395
1161350_raw_html.txt,34,5332,18,2845,29,2580,0,0,16,8993
1161518_raw_html.txt,211,15682,98,21006,26,2284,7,10618,22,18205
